City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Barentu,ER,15.1139,37.5928,74.86,63,100,6.55,overcast clouds
267,Jacareacanga,BR,-6.2222,-57.7528,69.82,63,1,1.21,clear sky
268,Tam Ky,VN,15.5667,108.4833,89.11,60,13,10.45,few clouds
269,Cukai,MY,4.25,103.4167,89.55,67,100,5.55,overcast clouds
270,Port-Gentil,GA,-0.7193,8.7815,76.96,78,75,9.22,broken clouds
271,Puerto Ayacucho,VE,5.6639,-67.6236,73.29,96,100,3.49,moderate rain
272,Ulvik,NO,60.5672,6.9187,63.59,85,86,3.87,overcast clouds
273,Chubbuck,US,42.9208,-112.4661,67.46,34,0,5.75,clear sky
274,Muravlenko,RU,63.7898,74.523,57.47,63,96,15.46,overcast clouds
275,Bud,US,39.447,-86.1758,73.67,96,43,6.2,scattered clouds
276,Mayumba,GA,-3.432,10.6554,72.81,83,96,1.95,overcast clouds
277,Westport,US,41.1415,-73.3579,81.01,88,0,12.66,clear sky
278,Ancud,CL,-41.8697,-73.8203,43.23,89,100,9.95,light rain
279,Syava,RU,58.0146,46.3222,83.1,43,1,4.41,clear sky
280,Alice Springs,AU,-23.7,133.8833,69.35,32,0,9.22,clear sky
281,Crixas,BR,-14.5489,-49.9692,67.37,51,0,5.32,clear sky
282,Wanning,CN,18.8003,110.3967,88.05,67,12,6.89,few clouds
283,Ilhabela,BR,-23.7781,-45.3581,66.52,70,100,1.66,overcast clouds
284,Altamira,BR,-3.2033,-52.2064,70.65,76,2,1.83,clear sky
285,Atbasar,KZ,51.8,68.3333,85.5,29,43,6.24,scattered clouds
286,Tiksi,RU,71.6872,128.8694,49.91,75,88,2.17,overcast clouds
287,Baykit,RU,61.67,96.37,77.05,37,95,5.32,overcast clouds
288,Diego De Almagro,CL,-26.3667,-70.05,52.11,58,0,2.98,clear sky
289,Cayenne,GF,4.9333,-52.3333,78.1,1,100,0.0,overcast clouds
290,Sambava,MG,-14.2667,50.1667,75.25,66,32,11.83,scattered clouds
291,Clyde River,CA,70.4692,-68.5914,43.03,93,100,9.22,overcast clouds
292,Nizhniy Tsasuchey,RU,50.5167,115.1333,78.01,55,14,13.89,light rain
293,Devils Lake,US,48.1128,-98.8651,57.18,94,0,5.75,clear sky
294,Hwange,ZW,-18.3693,26.5019,75.07,26,0,7.65,clear sky
295,Soroti,UG,1.7146,33.6111,71.35,72,100,3.11,overcast clouds
296,Miyako,JP,39.6367,141.9525,75.09,81,13,1.95,few clouds
297,Caravelas,BR,-17.7125,-39.2481,67.89,82,10,6.33,clear sky
298,Southbridge,US,42.0751,-72.0334,79.09,92,100,8.81,overcast clouds
299,Balkhash,KZ,46.844,74.9804,84.81,15,0,13.42,clear sky
300,Carndonagh,IE,55.25,-7.2667,56.82,94,100,19.42,overcast clouds
301,Ichnya,UA,50.8626,32.3942,66.74,77,100,12.28,overcast clouds
302,Tanout,NE,14.9709,8.8879,89.82,42,26,17.29,scattered clouds
303,Yangjiang,CN,21.85,111.9667,92.61,63,8,8.7,clear sky
304,Ayan,RU,56.45,138.1667,57.06,91,92,17.27,overcast clouds
305,Juneau,US,58.3019,-134.4197,58.84,98,100,9.22,light rain
306,Dalby,AU,-27.1833,151.2667,60.67,64,0,5.3,clear sky
307,Kimbe,PG,-5.5502,150.1429,82.44,71,23,8.05,few clouds
308,Batagay-Alyta,RU,67.8006,130.4114,75.58,40,54,6.2,broken clouds
309,Porterville,US,36.0652,-119.0168,76.42,33,0,6.91,clear sky
310,Davidson,US,36.1501,-86.7833,81.19,80,0,5.75,haze
311,Nouakchott,MR,18.0858,-15.9785,80.53,82,1,19.22,clear sky
312,Lorengau,PG,-2.0226,147.2712,83.32,75,14,8.03,few clouds
313,Faanui,PF,-16.4833,-151.75,76.5,82,42,8.63,moderate rain
314,Axim,GH,4.8699,-2.2405,76.64,73,60,5.91,broken clouds
315,Nemuro,JP,43.3236,145.575,65.66,85,7,5.84,clear sky
316,Sisimiut,GL,66.9395,-53.6735,46.06,82,99,8.95,overcast clouds
317,Markova,UA,48.6758,24.4138,71.6,48,40,4.23,scattered clouds
318,Maniitsoq,GL,65.4167,-52.9,42.33,86,64,4.07,broken clouds
319,Plettenberg Bay,ZA,-34.0527,23.3716,58.68,57,0,4.63,clear sky
320,Grand-Santi,GF,4.25,-54.3833,71.44,100,92,2.35,overcast clouds
321,Kindu,CD,-2.95,25.95,85.23,51,88,1.95,overcast clouds
322,Cabedelo,BR,-6.9811,-34.8339,70.47,85,26,13.38,scattered clouds
323,Bundaberg,AU,-24.85,152.35,65.21,77,6,1.01,clear sky
324,Atar,MR,20.5169,-13.0499,88.61,41,0,1.01,clear sky
325,Coromandel,BR,-18.4733,-47.2003,57.63,65,5,4.07,clear sky
326,Mhango,TZ,-3.2833,32.85,77.77,38,91,10.8,overcast clouds
327,Chaoyang,CN,41.5703,120.4586,90.57,48,21,16.8,few clouds
328,Kaeo,NZ,-35.1,173.7833,63.32,97,77,15.52,broken clouds
329,Nizhnyaya Omka,RU,55.4338,74.9426,73.65,51,22,7.56,few clouds
330,Garowe,SO,8.4054,48.4845,86.76,32,45,30.0,scattered clouds
331,Port Hardy,CA,50.6996,-127.4199,57.38,94,20,4.61,few clouds
332,Broken Hill,AU,-31.95,141.4333,57.6,55,16,20.38,few clouds
333,Prado,BR,-17.3411,-39.2208,68.67,82,66,7.38,broken clouds
334,College,US,64.8569,-147.8028,64.35,57,75,4.61,broken clouds
335,Gushikawa,JP,26.3544,127.8686,90.99,62,0,8.05,clear sky
336,Mount Pleasant,US,32.7941,-79.8626,82.0,87,0,8.05,clear sky
337,Atikokan,CA,48.7555,-91.6216,53.51,79,82,7.76,broken clouds
338,Half Moon Bay,US,37.4636,-122.4286,60.42,90,100,10.36,mist
339,Dubti,ET,11.7361,41.0853,87.21,47,100,9.28,overcast clouds
340,Ilam,NP,26.9167,87.9167,75.54,86,92,4.23,overcast clouds
341,Dvorichna,UA,49.8496,37.6857,76.33,58,98,14.9,overcast clouds
342,Kelvington,CA,52.1667,-103.5343,56.44,87,100,8.34,light rain
343,Grande Prairie,CA,55.1667,-118.8027,60.98,82,75,4.61,broken clouds
344,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,78,0,2.3,clear sky
